time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009952,-14.524114,36.427866,84.429084,3.261897,-2.086694,-13.873835,46.424103,8.566965,-37.942180,70.368935,85.638476,-5.763041,0.000000,-3.186707,112.415570,104.315960,-86.558306,23.380615,-14.292570,0.000000,27.882013,10.866065,-95.625498
0.019904,-13.471935,36.499799,104.109011,5.928648,-2.250725,-15.276167,28.740571,3.313818,-114.854294,50.195531,41.768799,-21.357386,0.000000,3.956671,109.798395,99.759659,-65.946540,4.047792,-52.677076,0.000000,30.519776,17.602315,-109.382409
0.029856,-7.042087,19.039033,83.170565,3.683125,0.562030,-10.839987,11.319507,-2.198472,-130.389583,10.795933,-52.275647,-55.014148,0.000000,-14.429207,70.810694,68.225885,-65.022646,-20.695705,-27.508409,0.000000,12.264517,21.624165,-90.938270
0.039808,21.309010,-17.338576,-75.073766,-10.642114,6.704931,6.845030,29.950114,-13.809200,60.706750,18.374292,-81.697817,-101.110872,0.000000,-74.787800,-47.073861,-108.549683,-75.567150,-8.312424,74.900493,0.000000,-43.888605,-5.891177,56.180851
0.049760,10.541060,-20.089956,-55.659909,-8.847083,5.123048,4.571332,32.959320,-17.073848,15.988976,4.717344,236.588416,488.095234,0.000000,-48.859443,-49.210506,-97.855739,-58.392305,2.118438,95.724066,0.000000,-27.473920,7.990218,46.033240
0.059712,3.419401,19.138744,-20.736550,-3.507813,3.527861,1.273554,14.554639,-33.348808,9.728863,-21.645646,422.486119,397.601467,0.000000,-33.180847,17.916072,-41.546421,-71.237333,-26.067657,38.120903,0.000000,-1.121685,-22.908334,6.058634
0.069663,-17.994847,-45.046534,11.131575,-3.278863,2.790326,2.246234,3.250786,92.717637,78.468974,-65.876412,523.075423,0.000000,0.000000,-4.837961,-54.387102,-1.014091,-32.753368,-6.786473,55.697566,0.000000,8.495088,55.352236,-2.858700
0.079615,-17.939010,-62.287930,11.456041,-3.673035,3.863196,2.777477,11.333320,117.881155,79.100212,-77.799118,237.553932,0.000000,0.000000,-5.288493,-78.945242,-11.369460,-21.077677,9.585320,70.445213,0.000000,7.064410,69.213232,16.277568
0.089567,-11.197260,-52.756307,9.257801,-2.707467,3.896096,3.038142,9.435974,88.192106,21.225675,-80.205762,-62.198690,0.000000,0.000000,-7.975022,-69.064487,-17.777980,-15.618006,-0.969351,59.831855,0.000000,3.105129,59.431051,9.623332
