time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.000000,0.099257,-0.048784,-0.215879,-1.343705,0.917162,0.187405,-0.468617,-0.067682,-0.103912,0.363284,-0.059575,0.067710,0.000000,0.418153,-0.134635,-0.352373,0.405322,-0.035210,-0.154075,0.000000,-0.325528,-0.034135,0.129692
0.009952,0.105079,-0.040624,-0.228865,-1.326624,0.918689,0.189109,-0.448484,-0.085102,-0.087054,0.420881,-0.138389,-0.001862,0.000000,0.410355,-0.130971,-0.354872,0.440412,-0.017347,-0.167628,0.000000,-0.330349,-0.052649,0.140179
0.019904,0.109463,-0.028856,-0.233488,-1.309221,0.920009,0.189439,-0.423752,-0.101674,-0.073954,0.485448,-0.208721,-0.072004,0.000000,0.402242,-0.116173,-0.347040,0.466930,0.002831,-0.182595,0.000000,-0.332407,-0.070087,0.141195
0.029856,0.112513,-0.013474,-0.227800,-1.291231,0.921105,0.188257,-0.396175,-0.117917,-0.072229,0.554985,-0.274916,-0.144261,0.000000,0.394520,-0.090500,-0.329327,0.486915,0.023411,-0.202780,0.000000,-0.331444,-0.085781,0.131378
0.039808,0.114865,0.003794,-0.213875,-1.272875,0.922258,0.186000,-0.367476,-0.134378,-0.083419,0.625593,-0.346289,-0.221967,0.000000,0.385369,-0.057815,-0.304857,0.500461,0.041940,-0.225690,0.000000,-0.329265,-0.099333,0.112554
0.049760,0.119327,0.019345,-0.207386,-1.255574,0.924075,0.184422,-0.335811,-0.152207,-0.088595,0.698020,-0.425753,-0.309687,0.000000,0.368812,-0.029791,-0.291138,0.506523,0.059647,-0.241181,0.000000,-0.331433,-0.113469,0.099295
0.059712,0.124834,0.032907,-0.206409,-1.239149,0.926399,0.183296,-0.300881,-0.171726,-0.092188,0.770914,-0.481785,-0.349066,0.000000,0.347415,-0.006642,-0.287111,0.506801,0.077563,-0.247192,0.000000,-0.336323,-0.126814,0.090594
0.069663,0.130679,0.048363,-0.207486,-1.223071,0.929072,0.182297,-0.264510,-0.194549,-0.094818,0.841664,-0.495974,-0.349066,0.000000,0.322732,0.018282,-0.287198,0.500024,0.092897,-0.249427,0.000000,-0.341323,-0.142428,0.082494
0.079615,0.134742,0.059359,-0.207460,-1.207318,0.932022,0.181520,-0.227817,-0.208189,-0.089676,0.905890,-0.458357,-0.349066,0.000000,0.297569,0.037819,-0.287386,0.490003,0.107559,-0.246146,0.000000,-0.345482,-0.152559,0.074111
0.089567,0.137029,0.064185,-0.206300,-1.191929,0.935354,0.181018,-0.190002,-0.210153,-0.076700,0.962411,-0.397213,-0.349066,0.000000,0.271883,0.049538,-0.288700,0.477895,0.123171,-0.235888,0.000000,-0.348942,-0.155836,0.067339
0.099519,0.138206,0.063786,-0.204222,-1.176808,0.939073,0.180817,-0.151252,-0.203383,-0.061621,1.010988,-0.342228,-0.349066,0.000000,0.245407,0.054416,-0.291774,0.464240,0.138686,-0.219704,0.000000,-0.352093,-0.153226,0.061521
0.109471,0.137986,0.061095,-0.200770,-1.161778,0.942910,0.180600,-0.111461,-0.193671,-0.051310,1.051784,-0.305773,-0.349066,0.000000,0.218883,0.056969,-0.293483,0.447932,0.151567,-0.203610,0.000000,-0.354098,-0.147030,0.054919
0.119423,0.136525,0.057964,-0.196788,-1.146756,0.946689,0.180280,-0.071678,-0.183826,-0.045589,1.085367,-0.278299,-0.349066,0.000000,0.192649,0.059360,-0.293937,0.429267,0.162418,-0.187917,0.000000,-0.354381,-0.139496,0.048416
0.129375,0.133840,0.052658,-0.192179,-1.131895,0.950423,0.180061,-0.032625,-0.170413,-0.041209,1.111914,-0.249486,-0.349066,0.000000,0.166750,0.059086,-0.293609,0.409614,0.173452,-0.170014,0.000000,-0.353604,-0.129410,0.043286
0.139327,0.129751,0.046044,-0.186124,-1.117149,0.954007,0.179851,0.006066,-0.154601,-0.038585,1.131304,-0.214477,-0.349066,0.000000,0.141948,0.057151,-0.290941,0.389016,0.183178,-0.152408,0.000000,-0.351544,-0.117457,0.038414
