Segment,Mass_kg,COM_X,COM_Y,COM_Z,Parent_Segment,COM_to_COM_Distance,Joint_to_Joint_Length,Notes
pelvis,10.2627234097,-0.0707,0.0,0.0,None,0.0,0.0,No parent segment
femur_r,8.105433941,0.0,-0.17,0.0,pelvis,0.18411542575243392,0.12647204692900113,Joint-to-joint length: 0.126m
tibia_r,3.23079282,0.0,-0.1867,0.0,femur_r,0.016699999999999993,0.4186486324904296,Joint-to-joint length: 0.419m
talus_r,0.0871420855,0.0,0.0,0.0,tibia_r,0.1867,0.4357581835950185,Joint-to-joint length: 0.436m
calcn_r,1.0892760688,0.1,0.03,0.0,talus_r,0.1044030650891055,0.06640166941897971,Joint-to-joint length: 0.066m
toes_r,0.1887497572,0.0346,0.006,-0.0175,calcn_r,0.0718290331272808,0.15946753972943734,Joint-to-joint length: 0.159m
femur_l,8.105433941,0.0,-0.17,0.0,pelvis,0.18411542575243392,0.12647204692900113,Joint-to-joint length: 0.126m
tibia_l,3.23079282,0.0,-0.1867,0.0,femur_l,0.016699999999999993,0.4186486324904296,Joint-to-joint length: 0.419m
talus_l,0.0871420855,0.0,0.0,0.0,tibia_l,0.1867,0.4357581835950185,Joint-to-joint length: 0.436m
calcn_l,1.0892760688,0.1,0.03,0.0,talus_l,0.1044030650891055,0.06640166941897971,Joint-to-joint length: 0.066m
toes_l,0.1887497572,0.0346,0.006,0.0175,calcn_l,0.0718290331272808,0.15946753972943734,Joint-to-joint length: 0.159m
torso,29.8344872453,-0.03,0.32,0.0,pelvis,0.3225778820688114,0.13203249446379367,Joint-to-joint length: 0.132m
