time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009952,0.359790,86.024515,40.201818,18.092902,12.641743,478.674159,36.601557,-16.456893,3.585901,-1.312460,1.889167,-0.759059,-0.159160,-41.039007,45.908398,-1.987065,11.935306,0.384453,0.307118,-0.082847,-9.336046,124.650477,9.501742
0.019904,25.575764,88.568059,49.800277,27.827924,22.192721,433.869046,52.498323,-16.548967,2.485397,-4.901425,2.145285,-1.246789,-0.141865,-55.635294,41.931922,-1.728838,15.112064,0.126911,0.163685,-0.068311,11.362238,126.938926,8.860447
0.029856,43.689955,72.086356,46.723339,-47.190397,99.079911,557.597236,56.540607,-24.520263,0.512101,-11.618448,1.952240,-1.428032,-0.082603,-35.283045,36.490271,-2.971967,9.231564,0.092950,0.127064,-0.030285,9.928849,125.199246,4.938232
0.039808,37.472774,48.653215,37.275379,-204.613458,183.002052,694.151490,59.056756,-30.636583,-1.422645,-18.727310,2.314261,-0.508780,-0.108887,-19.069028,39.886942,-4.978273,4.467212,0.152837,0.359770,-0.009594,-3.187594,122.017400,1.029635
0.049760,26.629816,38.295393,37.555522,-241.498597,216.203484,710.275712,56.982013,-35.220601,-2.245597,-21.231516,3.582808,0.498469,-0.237198,-17.466419,40.639235,-5.574493,4.317989,0.090070,0.503262,-0.003539,-5.606445,116.301669,2.602218
0.059712,32.458141,50.144743,40.176894,-167.278913,215.141099,673.912177,51.404187,-28.349382,-0.812369,-22.186323,5.757863,-0.391343,-0.438358,-15.750456,40.042335,-5.078863,4.071748,-0.012294,0.491707,-0.003933,3.967173,116.571964,5.797232
0.069663,39.077510,43.295651,48.562708,-147.461471,229.581293,683.873948,49.372904,-24.000231,4.531913,-26.140526,7.246876,-2.316249,-0.562163,-12.517315,43.358494,-5.304097,3.524417,-0.079558,0.494900,-0.003209,12.530638,114.386198,8.085159
0.079615,52.563124,24.850867,60.893872,-144.509598,251.527767,732.848659,55.059832,-30.566592,8.240472,-29.200756,5.626267,-2.409409,-0.391062,-5.618673,43.867706,-5.867807,2.096494,-0.039562,0.500794,-0.001286,15.741143,112.515878,10.659131
0.089567,63.283265,21.735784,59.355645,-95.197584,214.301334,757.255209,60.367614,-36.657632,5.985766,-28.779428,2.381505,-0.981394,-0.078331,-0.409976,43.427343,-5.650051,1.183844,-0.070605,0.495395,-0.000260,11.947701,116.242863,9.883869
0.099519,49.788750,25.915127,44.766981,-62.728285,113.702318,724.110080,49.149612,-37.557232,3.165192,-24.818166,0.515844,-0.162201,0.081467,-0.407800,46.065913,-4.890901,1.793876,-0.200733,0.537782,-0.003690,4.819421,117.292873,7.728106
0.109471,22.081803,23.872646,37.286398,-94.473117,40.480573,679.100557,25.416553,-35.508859,4.158671,-18.274438,0.523541,-0.262849,0.042842,-2.310060,48.878101,-4.419352,3.211529,-0.230870,0.600948,-0.011713,2.054832,109.334191,10.654397
0.119423,7.921688,15.844344,44.295793,-130.984595,15.321814,681.089002,13.994749,-36.915482,8.268387,-15.684429,1.384989,-0.740183,-0.057164,-2.793327,48.634214,-4.056801,3.717976,-0.173238,0.593186,-0.016373,0.509505,100.849421,15.466673
0.129375,17.087900,9.799340,51.110285,-98.787832,-31.087986,690.247855,23.978800,-40.528263,10.164052,-19.976868,2.095456,-1.063995,-0.104067,-1.929577,46.666545,-3.460421,2.915239,-0.183641,0.538095,-0.013942,-5.571791,97.244298,16.252730
0.139327,31.025183,10.145086,48.379878,-26.638997,-95.543275,682.016996,35.440589,-39.838596,7.565517,-24.022388,2.038358,-0.901659,-0.082979,1.179060,46.888483,-3.298238,2.008904,-0.230994,0.539854,-0.010291,-14.317174,97.128898,14.776588
0.149279,29.834046,11.852595,43.814926,6.124926,-127.197726,688.851340,30.722692,-37.334317,5.937697,-21.966554,1.406495,-0.586105,-0.040472,7.926814,49.150419,-3.912336,1.146206,-0.240672,0.607354,-0.006472,-21.798437,98.557763,14.983795
0.159231,17.972163,13.043980,42.151679,-19.692926,-163.777051,675.654023,17.993310,-38.589522,8.467276,-17.690100,0.848594,-0.548293,-0.008069,10.768406,48.300520,-3.958971,0.947390,-0.248087,0.653082,-0.003362,-24.499620,97.376902,15.904082
0.169183,12.984076,16.137086,39.432120,-49.185482,-229.862378,631.593948,12.780346,-40.904629,10.840431,-16.231126,0.638818,-0.648485,0.010320,6.008707,44.780322,-2.705238,2.014757,-0.276589,0.655998,-0.006565,-22.285865,95.033699,14.551144
