time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009952,0.585052,0.819918,-1.304802,1.716276,0.153386,0.171254,2.023065,-1.750410,1.693927,5.787537,-7.919452,-6.990741,0.000000,-0.783559,0.368190,-0.251109,3.525950,1.794907,-1.361781,0.000000,-0.484365,-1.860322,1.053773
0.019904,0.440509,1.182445,-0.464570,1.748738,0.132620,0.033183,2.485074,-1.665153,1.316329,6.487844,-7.067184,-7.048094,0.000000,-0.815273,1.486941,0.787035,2.664529,2.027589,-1.504019,0.000000,-0.206885,-1.752184,0.102116
0.029856,0.306437,1.545689,0.571515,1.807739,0.110221,-0.118844,2.771098,-1.632174,0.173308,6.987386,-6.651505,-7.260641,0.000000,-0.775896,2.579646,1.779836,2.008234,2.067872,-2.028258,0.000000,0.096846,-1.577007,-0.986449
0.039808,0.236355,1.735164,1.399222,1.844393,0.115814,-0.226723,2.883749,-1.654053,-1.124319,7.094826,-7.171748,-7.808138,0.000000,-0.919495,3.284349,2.458814,1.361134,1.861910,-2.302019,0.000000,0.218901,-1.361805,-1.891460
0.049760,0.448420,1.562611,0.652093,1.738484,0.182541,-0.158602,3.181810,-1.791481,-0.520170,7.277686,-7.984798,-8.814385,0.000000,-1.663777,2.815873,1.378536,0.609095,1.779186,-1.556615,0.000000,-0.217875,-1.420434,-1.332353
0.059712,0.553324,1.362678,0.098170,1.650438,0.233525,-0.113108,3.509819,-1.961398,-0.361049,7.324632,-5.630288,-3.956899,0.000000,-2.150022,2.326134,0.404684,0.027979,1.800268,-0.603977,0.000000,-0.491293,-1.340916,-0.874233
0.069663,0.587354,1.553145,-0.108198,1.615529,0.268634,-0.100434,3.654666,-2.293283,-0.264228,7.109216,-1.425739,0.000000,0.000000,-2.480236,2.504433,-0.008783,-0.680969,1.540845,-0.224600,0.000000,-0.502456,-1.568898,-0.813938
0.079615,0.408270,1.104845,0.002582,1.582898,0.296403,-0.078080,3.687017,-1.370564,0.516689,6.453619,3.779867,0.000000,0.000000,-2.528383,1.963177,-0.018875,-1.006928,1.473306,0.329698,0.000000,-0.417914,-1.018037,-0.842388
0.089567,0.229743,0.484961,0.116592,1.546344,0.334849,-0.050438,3.799806,-0.197420,1.303888,5.679369,6.143986,0.000000,0.000000,-2.581013,1.177520,-0.132023,-1.216691,1.568699,1.030763,0.000000,-0.347609,-0.329232,-0.680395
0.099519,0.118309,-0.040066,0.208725,1.519400,0.373623,-0.020203,3.893712,0.680261,1.515124,4.881167,5.524989,0.000000,0.000000,-2.660380,0.490196,-0.308948,-1.372121,1.559052,1.626205,0.000000,-0.316707,0.262221,-0.584624
0.109471,-0.022115,-0.270445,0.346902,1.510328,0.385596,-0.021794,3.998328,0.975973,1.036092,4.099299,3.663103,0.000000,0.000000,-2.665275,0.256474,-0.171667,-1.638697,1.294265,1.617242,0.000000,-0.201378,0.622553,-0.663412
0.119423,-0.146789,-0.314640,0.400144,1.509391,0.379751,-0.032189,3.997528,0.989206,0.574871,3.374553,2.760677,0.000000,0.000000,-2.636018,0.240317,-0.045585,-1.875503,1.090340,1.576853,0.000000,-0.028465,0.757122,-0.653412
0.129375,-0.269775,-0.533093,0.463084,1.493327,0.375136,-0.021979,3.924158,1.347747,0.440103,2.667557,2.895232,0.000000,0.000000,-2.602429,-0.027607,0.032893,-1.974731,1.108750,1.798930,0.000000,0.078044,1.013428,-0.515560
0.139327,-0.410882,-0.664586,0.608429,1.481699,0.360223,-0.021110,3.887745,1.588882,0.263683,1.948315,3.517800,0.000000,0.000000,-2.492181,-0.194434,0.268134,-2.069789,0.977292,1.769064,0.000000,0.207026,1.201039,-0.489532
0.149279,-0.399975,-0.657259,0.762027,1.482664,0.345649,-0.032849,3.730636,1.457947,-0.274895,1.179501,3.861091,0.000000,0.000000,-2.581337,-0.123101,0.521991,-2.324095,0.722192,1.540283,0.000000,0.195907,1.239160,-0.556221
0.159231,-0.367366,-0.699093,1.005253,1.488056,0.327966,-0.049897,3.488932,1.378902,-0.842269,0.393651,3.757094,0.000000,0.000000,-2.608690,-0.126909,0.841866,-2.374846,0.542439,1.296519,0.000000,0.138819,1.354032,-0.698037
0.169183,-0.331789,-0.785886,1.085782,1.476784,0.307255,-0.051135,3.278379,1.379506,-1.129481,-0.326032,3.479932,0.000000,0.000000,-2.598976,-0.259466,0.839866,-2.344556,0.379250,1.178639,0.000000,0.057348,1.458992,-0.651381
0.179135,-0.455078,-0.641720,1.190747,1.467479,0.254783,-0.069254,3.327042,1.105175,-1.330958,-0.878668,3.073493,0.000000,0.000000,-2.330399,-0.154234,0.975027,-2.219287,0.299469,1.039788,0.000000,0.206863,1.364789,-0.698484
0.189087,-0.587647,-0.431237,1.293059,1.454339,0.193835,-0.097837,3.429723,0.703868,-1.541219,-1.359940,2.687726,0.000000,0.000000,-2.084726,0.081929,1.442017,-2.158915,0.187338,0.686968,0.000000,0.363132,1.221779,-0.832620
0.199038,-0.292867,-0.716197,1.373816,1.462838,0.194145,-0.074224,2.776725,0.930131,-1.749661,-2.204470,2.173148,0.000000,0.000000,-2.415714,-0.288018,1.428511,-2.088783,0.285699,0.779669,0.000000,0.025196,1.448040,-0.812767
0.208990,-0.215903,-0.649667,1.341997,1.464671,0.157998,-0.065661,2.533575,0.789230,-1.755837,-2.808265,1.778366,0.000000,0.000000,-2.466441,-0.288086,1.263045,-2.092594,0.335434,0.836342,0.000000,-0.027504,1.335169,-0.778806
0.218942,-0.009143,-0.781814,1.347456,1.471367,0.143013,-0.041815,2.043151,0.911124,-1.795059,-3.542747,1.400219,0.000000,0.000000,-2.700517,-0.532203,0.992569,-2.106816,0.390228,0.942183,0.000000,-0.236717,1.413348,-0.707778
0.228894,0.111263,-0.924405,1.348236,1.476115,0.114784,-0.016838,1.685099,1.064222,-1.806323,-4.191709,0.895718,0.000000,0.000000,-2.854339,-0.820550,0.617567,-2.033714,0.746313,1.544831,0.000000,-0.349383,1.498256,-0.617972
0.238846,-0.296503,-0.296515,1.209811,1.441090,0.013485,-0.046652,2.229473,0.286972,-1.617276,-4.372542,0.778053,0.000000,0.000000,-2.226007,-0.167811,0.620797,-1.870892,0.707453,1.268790,0.000000,0.114275,0.877856,-0.699749
0.248798,-0.407563,0.097867,1.062394,1.439436,-0.044437,-0.037392,2.235964,-0.159719,-1.451252,-4.797389,0.771818,0.000000,0.000000,-2.063642,0.269729,0.700237,-1.862233,0.379826,0.908441,0.000000,0.278136,0.395430,-0.715402
0.258750,-0.065619,-0.034183,0.997861,1.472805,-0.044217,0.010502,1.453954,0.076363,-1.425244,-5.605469,0.649068,0.000000,0.000000,-2.517443,0.081990,0.311090,-1.916737,0.279232,1.301519,0.000000,-0.031289,0.400402,-0.615361
0.268702,0.056889,0.084755,0.994522,1.483723,-0.077305,0.010110,1.091952,-0.212995,-1.637833,-5.970241,1.459692,3.405917,0.000000,-2.624133,0.167346,0.073591,-1.817287,0.400057,1.443880,0.000000,-0.128373,0.261661,-0.650646
0.278654,-0.019386,0.319644,0.956546,1.481692,-0.136389,0.009990,1.009008,-0.523208,-1.731009,-6.305978,1.644845,4.635705,0.000000,-2.522838,0.387189,0.292956,-1.788489,0.383794,1.067963,0.000000,-0.027923,-0.003546,-0.688281
0.288606,-0.071287,0.482801,0.906601,1.491516,-0.186154,0.015041,0.848991,-0.649813,-1.706018,-6.744473,1.521477,4.992102,0.000000,-2.493282,0.549517,0.548291,-1.800951,0.340958,0.732689,0.000000,0.063774,-0.197939,-0.723869
0.298558,-0.094309,0.542570,0.777737,1.501578,-0.221136,0.040627,0.667752,-0.582660,-1.572059,-7.169515,1.379970,5.388346,0.000000,-2.501628,0.586185,0.757463,-1.785309,0.282688,0.493678,0.000000,0.114580,-0.334798,-0.662265
0.308510,-0.073652,0.564907,0.771520,1.511950,-0.245933,0.053885,0.466305,-0.556735,-1.551749,-7.435138,1.442018,6.263794,0.000000,-2.520954,0.533615,1.032709,-1.711625,0.156343,0.263854,0.000000,0.105344,-0.380418,-0.728870
0.318462,-0.048747,0.514779,0.774274,1.518647,-0.267134,0.070384,0.319419,-0.383026,-1.214554,-7.561104,1.208557,6.401995,0.000000,-2.529295,0.370867,1.201672,-1.619178,0.164718,0.185197,0.000000,0.083297,-0.346420,-0.721138
0.328413,0.022036,0.426741,0.799680,1.530372,-0.280170,0.087144,0.083101,-0.186056,-0.901055,-7.617987,1.006148,6.303770,0.000000,-2.566932,0.172628,1.294628,-1.487536,0.104575,0.061372,0.000000,0.022405,-0.274996,-0.682820
0.338365,0.041844,0.395828,0.809812,1.539304,-0.293049,0.101033,-0.024594,-0.084497,-0.502073,-7.391069,0.783604,5.651430,0.000000,-2.495248,0.041134,1.213855,-1.263316,0.076328,0.112679,0.000000,0.014302,-0.264033,-0.681541
0.348317,0.033254,0.388832,0.805484,1.540041,-0.301487,0.109001,-0.021827,-0.025146,0.167062,-6.861363,0.322625,4.073616,0.000000,-2.230568,-0.066710,0.804327,-0.422374,0.223306,0.445091,0.000000,0.007026,-0.254378,-0.666566
0.358269,0.161604,0.278429,0.772545,1.543986,-0.292659,0.118502,-0.010184,-0.043044,0.049413,-5.695376,0.170217,3.338289,0.000000,-2.152177,-0.256508,0.516223,0.000000,0.300825,0.583137,0.000000,-0.157922,-0.126218,-0.583183
0.368221,0.271011,0.177656,0.818680,1.554611,-0.282132,0.125677,-0.070416,-0.038035,0.146199,-4.485098,-0.053674,2.322930,0.000000,-2.105226,-0.458386,0.553683,0.000000,0.302227,0.539781,0.000000,-0.272588,-0.003440,-0.606355
0.378173,0.300639,0.139731,0.912970,1.568486,-0.275405,0.125821,-0.060039,-0.131071,0.357872,-3.169887,-0.376109,0.785844,0.000000,-1.947439,-0.611820,0.739583,0.000000,0.262064,0.344009,0.000000,-0.285937,0.069798,-0.665155
0.388125,0.388545,0.053845,1.004381,1.594970,-0.260076,0.127110,-0.386070,-0.039180,1.588237,-2.405044,-1.115249,-2.254055,0.000000,-1.824641,-0.837584,0.859739,0.490601,0.250529,0.233426,0.000000,-0.332600,0.214884,-0.781952
0.398077,0.121574,0.264816,0.726831,1.600298,-0.280509,0.145915,0.627956,-0.592143,0.007661,0.111358,-0.343177,-1.565121,0.000000,-1.200984,-0.595615,0.238181,1.456475,0.368317,0.571513,0.000000,-0.045183,-0.092805,-0.619056
0.408029,0.125011,0.257525,0.560576,1.621103,-0.266823,0.163925,1.159402,-0.880469,-2.353479,2.314633,0.597384,0.100331,0.000000,-1.001481,-0.634231,-0.326985,1.883575,0.250540,1.027667,0.000000,-0.026984,-0.133057,-0.508431
0.417981,0.117580,0.076945,0.449030,1.654637,-0.247686,0.176825,0.986634,-0.749069,-3.209981,3.173659,0.665579,0.621500,0.000000,-0.846762,-0.862576,-0.764648,2.192589,0.070050,1.446165,0.000000,0.048810,0.051440,-0.396422
0.427933,0.091355,-0.063766,0.317353,1.696019,-0.230674,0.178811,0.751033,-0.545248,-2.346435,3.766767,0.422107,-0.637373,0.000000,-0.791739,-0.975351,-0.658119,2.243692,-0.404573,1.223653,0.000000,0.170419,0.212578,-0.266286
0.437885,0.156311,-0.317171,0.223018,1.739590,-0.200012,0.185753,0.356923,-0.171479,-1.306214,4.078403,0.366742,-1.270458,0.000000,-0.804035,-1.232985,-0.776361,2.342616,-0.774841,1.195179,0.000000,0.199473,0.505781,-0.146414
0.447837,0.150208,-0.533015,0.164682,1.776832,-0.172722,0.190797,0.002313,0.274134,-0.147137,3.963148,-0.192991,-1.894358,0.000000,-0.700386,-1.441307,-0.878860,2.498489,-1.199556,0.991855,0.000000,0.287643,0.756646,-0.081990
0.457788,0.214828,-0.887516,-0.070355,1.819863,-0.130389,0.238275,-0.312763,1.001109,0.513673,3.379750,-2.049311,-2.472024,0.000000,-0.673642,-1.720494,-1.156022,2.657485,-1.762547,0.653704,0.000000,0.306810,1.050025,0.217333
0.467740,0.261247,-1.504553,-0.349886,1.816668,-0.062925,0.314058,-0.400873,2.037834,0.987599,2.225029,-5.245730,-3.762631,0.000000,-0.473638,-2.246174,-1.502029,3.008459,-2.493044,-0.054465,0.000000,0.216609,1.574352,0.674311
0.477692,0.306520,-1.898788,-0.420022,1.820348,0.016914,0.351877,-0.495631,2.582278,1.701608,1.560963,-5.284102,-3.856577,0.000000,-0.266048,-2.557062,-1.194947,3.353982,-3.400646,-1.350754,0.000000,0.135485,1.946571,0.866550
0.487644,0.074713,-1.685962,-0.498786,1.821474,0.054406,0.349380,-0.154320,2.236553,1.870615,2.373817,-3.298261,-3.817601,0.000000,0.360264,-2.248925,-1.028895,3.947640,-4.216447,-2.222830,0.000000,0.342813,1.690158,0.835651
0.497596,-0.069614,-1.263886,-0.319889,1.798428,0.091402,0.275984,0.054653,1.495664,1.292859,3.359384,-1.011086,-3.145633,0.000000,1.100048,-1.793972,-0.477852,4.710412,-5.120320,-3.625392,0.000000,0.412749,1.398755,0.493310
0.507548,0.115803,-1.371484,-0.209158,1.810784,0.148618,0.257752,-0.381005,1.787482,1.416334,3.051722,0.540259,-3.139400,0.000000,1.405684,-1.934458,-0.478122,5.288920,-6.648851,-5.154928,0.000000,0.215187,1.593783,0.393385
0.517500,0.241422,-1.497181,-0.406018,1.802908,0.194569,0.295234,-0.834981,2.367684,2.085905,2.225893,1.029232,-2.623975,0.000000,1.719891,-2.041907,-0.730377,5.874545,-7.301904,-5.892419,0.000000,0.025703,1.647708,0.664047
0.527452,0.148993,-1.407478,-0.683091,1.766289,0.213492,0.339154,-1.021370,2.585310,2.485407,1.589503,1.117747,-2.366566,0.000000,2.239512,-1.835119,-0.351899,6.499208,-6.831635,-6.007974,0.000000,0.007437,1.382341,0.933709
0.537404,0.074497,-1.149256,-0.815452,1.720688,0.229214,0.348175,-1.269503,2.348437,2.221990,1.054743,1.275322,-2.315504,0.000000,2.777441,-1.428266,0.388125,7.056529,-6.284463,-5.957207,0.000000,-0.032109,1.001763,1.057231
0.547356,0.060041,-0.925371,-0.782503,1.667573,0.246568,0.342972,-1.545244,2.041927,1.876019,0.587648,1.395821,-1.838714,0.000000,3.269027,-1.095776,0.984554,7.380111,-6.197776,-6.079030,0.000000,-0.114584,0.716499,1.094842
0.557308,0.050713,-0.748161,-0.651392,1.618198,0.264354,0.328520,-1.756531,1.728810,1.502945,0.232668,1.547057,-0.975806,0.000000,3.646993,-0.867044,1.291037,7.325372,-6.204827,-6.221074,0.000000,-0.193304,0.525115,1.025538
0.567260,0.121115,-0.691759,-0.477620,1.589899,0.290834,0.312800,-2.056910,1.530650,1.054718,-0.157815,1.576154,-0.187357,0.000000,3.736643,-0.951074,1.088086,6.996201,-4.389989,-4.135137,0.000000,-0.293611,0.462528,0.991185
0.577212,0.130887,-0.617549,-0.292033,1.569319,0.310789,0.287457,-2.295263,1.325151,0.629940,-0.591233,1.511189,0.271680,0.000000,3.844278,-1.091736,0.757482,6.676108,-0.232663,0.000000,0.000000,-0.280915,0.401760,0.921085
0.587163,0.138514,-0.388578,-0.123804,1.549082,0.330338,0.255094,-2.514028,0.946746,0.216934,-0.972787,1.551419,0.779469,0.000000,3.934650,-0.872005,0.708749,6.171658,2.902766,0.000000,0.000000,-0.273897,0.185578,0.820684
0.597115,0.221229,-0.083743,0.006550,1.533815,0.359921,0.217935,-2.785010,0.486933,-0.174445,-1.294405,1.562528,1.334960,0.000000,3.958185,-0.399768,0.962977,5.459086,3.474178,0.000000,0.000000,-0.337658,-0.095876,0.706826
0.607067,0.127874,0.162462,0.030752,1.511382,0.363621,0.193246,-2.772957,0.135927,-0.410794,-1.490386,1.511387,1.763155,0.000000,4.110988,0.059613,1.137681,4.685904,2.834061,0.000000,0.000000,-0.211473,-0.353567,0.696233
0.617019,0.031368,0.317433,-0.098461,1.501653,0.362062,0.197299,-2.727940,-0.036368,-0.313363,-1.599251,1.376510,2.037112,0.000000,4.101358,0.358701,0.928696,3.864882,2.432519,0.000000,0.000000,-0.094944,-0.579964,0.747546
0.626971,-0.125320,0.393010,-0.233786,1.492459,0.343739,0.208842,-2.592328,-0.102203,-0.143145,-1.684354,1.215740,2.119729,0.000000,4.164887,0.472772,0.597659,3.196512,2.573651,0.000000,0.000000,0.080129,-0.727579,0.803168
0.636923,-0.207983,0.456347,-0.400369,1.484014,0.329857,0.220579,-2.540775,-0.145193,0.067050,-1.789783,1.037090,2.111887,0.000000,4.117446,0.553902,0.233176,2.521142,3.376046,0.000000,0.000000,0.171796,-0.858468,0.871893
0.646875,-0.290465,0.503753,-0.598052,1.483988,0.309703,0.229726,-2.479612,-0.175750,0.306652,-1.866783,0.848862,2.026788,0.000000,4.013556,0.647989,-0.092255,1.783251,4.248004,0.000000,0.000000,0.278476,-0.961624,0.960123
0.656827,-0.359177,0.527045,-0.725508,1.501187,0.282166,0.225046,-2.445880,-0.210359,0.409008,-1.941178,0.728797,1.950694,0.000000,3.865377,0.704764,-0.377143,1.029514,4.017000,0.000000,0.000000,0.417331,-0.996424,0.966692
0.666779,-0.362019,0.463297,-0.976088,1.509914,0.259985,0.238288,-2.486722,-0.141204,0.608895,-2.038668,0.566537,1.880238,0.000000,3.602747,0.585540,-0.845542,0.301859,3.289895,0.000000,0.000000,0.443460,-0.980839,1.125680
0.676731,-0.321272,0.337480,-1.091828,1.499269,0.239168,0.251139,-2.575982,0.000040,0.717704,-2.199735,0.304016,1.682646,0.000000,3.384992,0.371213,-1.120342,-0.352165,2.550264,0.000000,0.000000,0.372318,-0.874902,1.192960
0.686683,-0.211684,0.292173,-1.183141,1.499516,0.217492,0.264055,-2.693334,0.012114,0.636802,-2.226408,0.249621,1.675386,0.000000,3.060961,0.227876,-1.397932,-0.991294,2.065817,0.000000,0.000000,0.242665,-0.863537,1.226453
